devices,nodes_simulated,protocol,seed,success_probability,mean_aoi_s,mean_semantic_distortion,energy_efficiency_bits_per_j,goodput_bits,total_tx_airtime_s,transmitted_packets
10000,1250,DR8,0,0.9296785882037174,293.92317430135347,0.7579457969793626,531.0870988070487,1108400.0,20870.399648000053,14903
10000,1250,DR8,1,0.9265680433763973,295.363169554122,0.7736849098977528,529.3101726209333,1107360.0,20920.814624000028,14939
10000,1250,DR8,2,0.9260716223548562,302.139588010002,0.7787876127989497,529.0265877309917,1092320.0,20647.733504000014,14744
10000,1250,DR9,0,0.8128253036167089,330.09893333160335,0.7530147343777813,750.0602609780616,974480.0,12992.02278400005,14986
10000,1250,DR9,1,0.8138786456587328,333.39525521713796,0.7612178098983211,751.0322656676608,971120.0,12930.469760000035,14915
10000,1250,DR9,2,0.8152647563713191,330.90056877403055,0.7666257655905153,752.3113431744775,987840.0,13130.73382400002,15146
10000,1250,Semantic,0,0.9796091758708582,778.2241608924046,0.892748160390319,868.6686947824677,276720.0,3185.5643200000004,3531
10000,1250,Semantic,1,0.9690376569037656,773.4940913331641,0.8846059189201686,859.8000870254305,277920.0,3232.379296,3585
10000,1250,Semantic,2,0.9725643896976484,767.5324866233852,0.8992760515659349,862.7191090484702,277920.0,3221.442496,3572
20000,2500,DR8,0,0.6653643677780353,394.0039659481034,0.760124299809838,380.0952675650865,1607680.0,42296.764448,30203
20000,2500,DR8,1,0.6680375443600544,390.73040567246983,0.7665185552599345,381.6223432808834,1611360.0,42223.942816000155,30151
20000,2500,DR8,2,0.6760067114093959,390.65158560732397,0.7765128557918648,386.17480029328107,1611600.0,41732.3968000001,29800
20000,2500,DR9,0,0.5513416578108395,462.24657492567144,0.7640753870797178,508.76795531045195,1328160.0,26105.417728000422,30112
20000,2500,DR9,1,0.5488168156106704,465.6221912246786,0.7695350409841168,506.43807730202906,1311760.0,25901.685888000356,29877
20000,2500,DR9,2,0.5452880452880453,462.3501328529154,0.7693491701422484,503.1817928613965,1310000.0,26034.32832000034,30030
20000,2500,Semantic,0,0.9363648967142659,784.8399750511247,0.8877669031262563,831.0437139772264,540320.0,6501.703712,7213
20000,2500,Semantic,1,0.9317835893178359,793.3683886498956,0.9010907190450406,827.2506780949484,538720.0,6512.173568,7227
20000,2500,Semantic,2,0.9280585473626071,792.137101637286,0.8994376689083275,823.5452430465688,537680.0,6528.845920000001,7242
30000,3750,DR8,0,0.38892987280084057,614.3053699923811,0.7704750495834863,222.1796225126477,1391840.0,62644.80892800007,44733
30000,3750,DR8,1,0.3951956258683279,602.2921192572308,0.7716673899504071,225.7589892536659,1410880.0,62494.9644160001,44626
30000,3750,DR8,2,0.3911075254358836,612.2409901388706,0.7716509589801271,223.42362580026682,1396160.0,62489.36275200009,44622
30000,3750,DR9,0,0.3316439447592068,676.3171340779908,0.7665574645612745,306.0349409043287,1198800.0,39171.99769600045,45184
30000,3750,DR9,1,0.3290797708826326,683.389390772075,0.7700606856077719,303.6687683473241,1190400.0,39200.606848000534,45217
30000,3750,DR9,2,0.33589783731800593,679.3440936408583,0.7705757030046607,309.96035482614985,1201520.0,38763.66707200044,44713
30000,3750,Semantic,0,0.8806202973022573,815.164090321597,0.8957881645294632,781.9835271523681,767760.0,9818.109632000002,10898
30000,3750,Semantic,1,0.8820681465241619,822.278121550077,0.8957875594034049,783.1630380345075,772480.0,9863.591136000001,10947
30000,3750,Semantic,2,0.8789566508864755,823.1055084186694,0.8954401780984466,779.4956639839558,757520.0,9718.078432,10773
40000,5000,DR8,0,0.18376745815882128,977.2578509895477,0.7643466729117554,104.97878239541566,881040.0,83925.5304639992,59929
40000,5000,DR8,1,0.1887345653157304,967.2085631698258,0.7703678673402412,107.81628619823357,901200.0,83586.62979199937,59687
40000,5000,DR8,2,0.18501791517373553,973.0659880386138,0.766316327343974,105.69311700165531,888160.0,84031.96207999902,60005
40000,5000,DR9,0,0.19357160793504646,952.9689567682352,0.7661481688078842,178.62432446390673,925040.0,51786.899840000005,59735
40000,5000,DR9,1,0.192327717966375,956.036621129072,0.7736068979082538,177.47648564740035,916080.0,51616.978816000046,59539
40000,5000,DR9,2,0.1921762754804407,957.0532021720837,0.7686075751642871,177.3367373029312,922400.0,52014.039168000054,59997
40000,5000,Semantic,0,0.8246989638756651,868.6736112242721,0.8880141841182627,732.5702811634587,942400.0,12864.294720000002,14284
40000,5000,Semantic,1,0.827356772657235,856.9058163124461,0.8886985599619304,734.42444961947,945040.0,12867.763328000001,14278
40000,5000,Semantic,2,0.8257168771366776,864.6309591351047,0.8945544494681464,731.7720805649562,946800.0,12938.454816000001,14333
50000,6250,DR8,0,0.07613522704540908,1355.6252244082593,0.7599895801686407,43.49292041531105,456720.0,105010.19375999832,74985
50000,6250,DR8,1,0.07955048938655496,1340.1242283238232,0.774526903271956,45.44391917062144,474000.0,104304.38409599832,74481
50000,6250,DR8,2,0.08080022526448465,1333.447108340883,0.7695685126573247,46.15784182099345,482080.0,104441.62486399894,74579
50000,6250,DR9,0,0.10467292218034058,1235.6242465050418,0.7650963781596768,96.59025005568148,626480.0,64859.548415999794,74814
50000,6250,DR9,1,0.1063175761463721,1233.134180332597,0.7698334243492252,98.10790652810114,636400.0,64867.35091199967,74823
50000,6250,DR9,2,0.10618019759450172,1227.1378063224156,0.7714248301243303,97.98113612367314,632800.0,64583.860223999756,74496
50000,6250,Semantic,0,0.756968983117393,913.240656470204,0.8862282633935894,673.5378345515473,1079680.0,16029.982944000001,17829
50000,6250,Semantic,1,0.7552158875376548,913.184345685616,0.8913138282538261,670.7199980112839,1083040.0,16147.423712000002,17926
50000,6250,Semantic,2,0.7521657041314971,911.6751050666445,0.8889166640055576,669.0608200084095,1083600.0,16195.837024,18008
60000,7500,DR8,0,0.029442516462003916,1607.1599568366728,0.7659832695662939,16.819297387064662,211760.0,125903.00006399778,89904
60000,7500,DR8,1,0.030790420757986405,1593.7184795247535,0.7633792895759911,17.589299612679056,221760.0,126076.6516479978,90028
60000,7500,DR8,2,0.030860335195530726,1603.1794878675119,0.7695153983698779,17.629238852187484,220960.0,125337.23199999792,89500
60000,7500,DR9,0,0.05710393496806467,1451.3297121301002,0.7710225943500719,52.69446235795168,409120.0,77640.03686399946,89556
60000,7500,DR9,1,0.055388803963356804,1461.3639030338807,0.7722228374368041,51.11177096869656,397120.0,77696.3882239996,89621
60000,7500,DR9,2,0.055726034122990056,1460.746426836193,0.7707558070840389,51.422960766084366,399520.0,77692.92044799966,89617
60000,7500,Semantic,0,0.6927267647606631,960.7082064724252,0.8898235453986618,616.3084139637655,1190160.0,19311.110688,21476
60000,7500,Semantic,1,0.693570008782878,959.85045295468,0.8947974721194022,615.9096908056671,1200320.0,19488.571424,21633
60000,7500,Semantic,2,0.6902504922837386,950.7783326542379,0.8961947987370797,613.2711975022847,1205840.0,19662.426752000003,21837
70000,8750,DR8,0,0.010882372663786414,1723.1724180058163,0.7662937790657353,6.2166514314527035,90880.0,146188.02582399768,104389
70000,8750,DR8,1,0.011287457743654385,1723.5181425248043,0.7658071317508343,6.448059858587504,94560.0,146648.76268799725,104718
70000,8750,DR8,2,0.01141768832486338,1721.0542949077458,0.7717961125926466,6.522455227511603,95440.0,146325.26659199703,104487
70000,8750,DR9,0,0.02946371456668481,1606.4604659412264,0.76598089761993,27.188574640747287,246880.0,90802.84761599934,104739
70000,8750,DR9,1,0.029732720300665816,1604.9688081481168,0.7689381009683853,27.436808191224355,249360.0,90885.2072959994,104834
70000,8750,DR9,2,0.02805023637839645,1612.6998650098324,0.7684276445246637,25.88424293001301,234960.0,90773.37151999984,104705
70000,8750,Semantic,0,0.6325455126157777,1008.4217121838483,0.8886726322994072,561.6306674902497,1267520.0,22568.568160000003,25048
70000,8750,Semantic,1,0.6266101224683921,1012.6621125145397,0.8935716947196459,556.1461077562019,1264800.0,22742.225152000003,25231
70000,8750,Semantic,2,0.6385172798216276,1005.4594698223686,0.8945433886828137,567.3672523300535,1282960.0,22612.514112,25116
80000,10000,DR8,0,0.003722043135821342,1772.5137820920438,0.765011967831888,2.12624999190034,35840.0,168559.6714239981,120364
80000,10000,DR8,1,0.003976710237092471,1772.4643973012924,0.7692275078035066,2.2717308211802987,37920.0,166921.18470399725,119194
80000,10000,DR8,2,0.003667961732882149,1774.7428508971461,0.7631706877296818,2.095355513151635,35120.0,167608.78895999765,119685
80000,10000,DR9,0,0.014734257147868794,1699.8968686893627,0.7654304498661215,13.596501871280097,141120.0,103791.40262399985,119721
80000,10000,DR9,1,0.014569558566616235,1700.5616647420034,0.7662606322672254,13.444521045526615,139440.0,103715.11155199965,119633
80000,10000,DR9,2,0.014511019804559166,1699.9797912539314,0.7715905478679963,13.390502551084438,138160.0,103177.60627199986,119013
80000,10000,Semantic,0,0.5757978723404256,1062.9481043252624,0.8925079121486593,511.1750673737685,1316320.0,25750.864704000003,28576
80000,10000,Semantic,1,0.5664138602838853,1066.3702388639226,0.894009553710424,502.54808268377764,1302480.0,25917.520032,28744
80000,10000,Semantic,2,0.5715078951934757,1058.2952253791009,0.8938202890587043,508.0288217275444,1317440.0,25932.386976,28815
90000,11250,DR8,0,0.0012079711272667986,1791.5996937886177,0.761856339074107,0.690064167942563,13040.0,188967.93379199738,134937
90000,11250,DR8,1,0.0012413495774208174,1790.9537653096652,0.7689601859104332,0.7091319021895393,13360.0,188399.36489599774,134531
90000,11250,DR8,2,0.001353461738677772,1790.5381569802662,0.7652964808684541,0.7731769638037757,14560.0,188313.93951999812,134470
90000,11250,DR9,0,0.0072053601937276225,1749.667410017752,0.7670917920202457,6.6489740455924435,77600.0,116709.73516800006,134622
90000,11250,DR9,1,0.00745388603342011,1747.5669804368863,0.76813798463522,6.878309125775267,80400.0,116889.19257599949,134829
90000,11250,DR9,2,0.007648809523809524,1746.1622067191227,0.7660603417293614,7.058180942537959,82240.0,116517.27359999983,134400
90000,11250,Semantic,0,0.5091823821722893,1122.4384611008336,0.8925061230755332,452.44413084004754,1319760.0,29169.568352000002,32399
90000,11250,Semantic,1,0.5102996835639387,1121.3003085577716,0.8935391522632026,452.4827689092964,1315920.0,29082.212416000002,32234
90000,11250,Semantic,2,0.5160759729377444,1116.729739164351,0.8908867921529899,458.52889369597483,1330320.0,29012.784544000002,32222
100000,12500,DR8,0,0.0004024765725095085,1796.9887390678423,0.7647179285251667,0.22991829428370691,4800.0,208769.8160319968,149077
100000,12500,DR8,1,0.000367644601306141,1797.3044639238774,0.7636321661006624,0.21002022330858525,4400.0,209503.6340159979,149601
100000,12500,DR8,2,0.000395949237965492,1797.278718478316,0.7682990937493961,0.22618949681551534,4720.0,208674.58774399792,149009
100000,12500,DR9,0,0.0036789095953199446,1773.556272112582,0.7673433184460768,3.394830203860878,43920.0,129373.18617599957,149229
100000,12500,DR9,1,0.0037377803335250145,1772.4183051668592,0.7656499417117886,3.449155039794972,44720.0,129654.94297599996,149554
100000,12500,DR9,2,0.0043272120200333886,1769.6881346216305,0.7676514700257452,3.9930717739862325,51840.0,129824.86399999964,149750
100000,12500,Semantic,0,0.4575808249721293,1173.4479289327267,0.889038324553938,406.6573283203427,1313440.0,32298.446592000004,35880
100000,12500,Semantic,1,0.45998208988638273,1171.1945953027346,0.8904270779034155,408.54337677500797,1314960.0,32186.545536,35734
100000,12500,Semantic,2,0.4595844242660576,1173.1141236996395,0.8896032874649492,408.20288981560583,1320000.0,32336.860736000002,35902
110000,13750,DR8,0,0.00012188061793473293,1799.108627433287,0.765880119964994,0.06962537870731784,1600.0,229801.2635199979,164095
110000,13750,DR8,1,0.00010977617856925048,1799.3285694927342,0.7695636365020087,0.06271061088662334,1440.0,229626.21151999698,163970
110000,13750,DR8,2,0.00013392422323950522,1798.9385397567655,0.7674999695141793,0.07650539453391322,1760.0,230049.13715199902,164272
110000,13750,DR9,0,0.0018815703221733958,1787.3281263914862,0.765640195996997,1.736278534413693,24800.0,142834.22566399732,164756
110000,13750,DR9,1,0.0019615846192271844,1786.4778324504214,0.7672781561683839,1.8101142581086676,25760.0,142311.4584319988,164153
110000,13750,DR9,2,0.0018585435112457116,1786.9735016884463,0.7681270495760284,1.7150298162241076,24400.0,142271.57900799776,164107
110000,13750,Semantic,0,0.4117796653272977,1227.1262730374065,0.8905895400795106,365.91211379487083,1295360.0,35400.8504,39322
110000,13750,Semantic,1,0.4071498752928728,1223.983747432032,0.8931776739922733,362.0145378551216,1292880.0,35713.48288,39693
110000,13750,Semantic,2,0.41001270648030497,1226.2162127983318,0.8900597902317011,364.33442604816685,1290720.0,35426.792192,39350
120000,15000,DR8,0,4.451517410997474e-05,1799.594819572951,0.7668404448667918,0.02542968609897358,640.0,251674.36102399722,179714
120000,15000,DR8,1,6.678205121070294e-05,1799.6200617650068,0.7674709245460593,0.03814983616908318,960.0,251639.35062399792,179689
120000,15000,DR8,2,3.9048336261958554e-05,1799.7479896659243,0.7658612334744619,0.02230670672826287,560.0,251045.5742399989,179265
120000,15000,DR9,0,0.0009389567024285087,1792.987103415126,0.765123183672217,0.8664519991404526,13520.0,156038.6497279972,179987
120000,15000,DR9,1,0.0008710752754217177,1793.6095863146954,0.7695019468468693,0.8038122650798587,12480.0,155260.13401599578,179089
120000,15000,DR9,2,0.0009126270861041396,1793.1158833624934,0.7650243283645056,0.8421555127935959,13120.0,155790.70374399584,179701
120000,15000,Semantic,0,0.3604802680565897,1280.6185202458923,0.8892533014275181,320.6095396448827,1239360.0,38656.366912000005,42976
120000,15000,Semantic,1,0.35671139392262646,1279.5872687595875,0.8957999505885285,316.9211896272661,1237760.0,39055.766560000004,43374
120000,15000,Semantic,2,0.364163607025093,1279.4833163616997,0.8888840241786484,323.6302032009619,1245760.0,38493.316992,42761
130000,16250,DR8,0,1.543281324752689e-05,1799.871719994622,0.769008106860413,0.008816130776870287,240.0,272228.26665599854,194391
130000,16250,DR8,1,1.546774459660122e-05,1799.8650134585134,0.7702479539952609,0.008836085618331298,240.0,271613.48403199855,193952
130000,16250,DR8,2,2.0611969370613517e-05,1799.8523034730574,0.7671592933681156,0.011774769423150635,320.0,271767.5297919982,194062
130000,16250,DR9,0,0.00044745030472908686,1796.6613332432191,0.7677621275186474,0.4128989228638542,6960.0,168564.25663999445,194435
130000,16250,DR9,1,0.0004530874304279102,1796.7784298611605,0.7669708356689836,0.418100758921381,7040.0,168380.46451199555,194223
130000,16250,DR9,2,0.0005557528134986184,1796.003805610472,0.7671850829202478,0.5128384887592629,8640.0,168474.09446399403,194331
130000,16250,Semantic,0,0.31242676665459423,1334.7876532018179,0.8938239672596734,277.5000069673032,1173200.0,42277.476416000005,46939
130000,16250,Semantic,1,0.3138113755822401,1333.5035155305297,0.8972355757078,278.79849944774355,1174960.0,42143.698848,46802
130000,16250,Semantic,2,0.31607425467299716,1330.3390955993784,0.89082616075692,281.030541440861,1182320.0,42070.872224000006,46758
140000,17500,DR8,0,4.7950131862862624e-06,1799.9904992461545,0.7673457026404907,0.0027391936032071865,80.0,292056.7568000011,208550
140000,17500,DR8,1,0.0,1800.0,0.7693300387879298,0.0,0.0,292976.8301120006,209207
140000,17500,DR8,2,0.0,1800.0,0.7633470052739073,0.0,0.0,293352.1415999996,209475
140000,17500,DR9,0,0.00024369382498960719,1798.18510361002,0.7697672071422333,0.22487618576481722,4080.0,181433.17337599257,209279
140000,17500,DR9,1,0.0002053878486816966,1798.6081116949354,0.7679385734659548,0.1895281343954897,3440.0,181503.3958399932,209360
140000,17500,DR9,2,0.0001856356115741424,1798.6954876504801,0.7648490101748869,0.17130113278287926,3120.0,182135.39801599196,210089
140000,17500,Semantic,0,0.2779834408088528,1377.5144937902314,0.8929754668946184,246.80431806926478,1117360.0,45273.113888,50244
140000,17500,Semantic,1,0.27853664330680605,1377.125238674251,0.8939609044376657,247.52873642907076,1125600.0,45473.508096000005,50514
140000,17500,Semantic,2,0.2803310477180497,1377.9829560653004,0.8873194738421645,248.94642156971693,1121840.0,45063.511776,50023
150000,18750,DR8,0,0.0,1800.0,0.7656361201063304,0.0,0.0,313869.6364160006,224126
150000,18750,DR8,1,0.0,1800.0,0.7702104201050967,0.0,0.0,313799.6156160024,224076
150000,18750,DR8,2,4.455355114079368e-06,1799.9876775588384,0.7658602700890911,0.002545160931654216,80.0,314321.9707840021,224449
150000,18750,DR9,0,0.00012881732370905051,1799.1325053688547,0.7661381683694597,0.11887026032505534,2320.0,195170.76799999177,225125
150000,18750,DR9,1,0.00013795558720128165,1799.0555352372205,0.7679200748143464,0.12730288203278528,2480.0,194810.98623999,224710
150000,18750,DR9,2,9.823709075321057e-05,1799.2661087735721,0.7648778331344476,0.09065138302193962,1760.0,194150.3749119902,223948
150000,18750,Semantic,0,0.24197288123017566,1427.3213942485602,0.8915428006347428,214.79916259197074,1043600.0,48584.919392,53911
150000,18750,Semantic,1,0.23985123783443732,1426.3009999804092,0.8961823886998539,212.77428568535584,1037040.0,48738.972224000005,54046
150000,18750,Semantic,2,0.24156203840472673,1420.837354497659,0.8935762501672867,214.82425639564747,1046640.0,48720.755168,54160
